media_type, title, status, release_date, episode_count
"1", "x3 Eyes Seima Densets", "FINISHED", "1995-07-01", "3"
"1", "x3 Eyes: Seima Densets", "FINISHED", "1995-07-01", "3"
"1", " Shuunen Monst? Shiru ka yo", "FINISHED", "2017-10-01", "1"
"1", "-Day Weeken", "FINISHED", "1998-10-01", "1"
"1", ".Eye", "FINISHED", "1975-01-01", "1"
"1", ".Eyes Re-Mix 200", "FINISHED", "2005-01-01", "1"
"1", "0 Shuunen Da yo!! CoroCoro All-Star Shougakko", "FINISHED", "2017-07-01", "2"
"1", "0-Shuunen da yo! Coro Coro All-Star Shougakko", "UNKNOWN", "2017-07-01", "2"
"1", "0-shuunen da yo!! Coro Coro All-Star Shougakko", "FINISHED", "2017-07-01", "2"
"1", "0meterP: Crouching Star", "UNKNOWN", "2014-01-01", "1"
"1", "0MeterP: Dan Dan Hayaku Nar", "UNKNOWN", "2015-01-01", "1"
"1", "0MeterP: Dare mo Shiranai Happy En", "UNKNOWN", "2016-01-01", "1"
"1", "0meterP: Heartbreak Headlin", "UNKNOWN", "2012-01-01", "1"
"1", "0meterP: Renai Saiba", "UNKNOWN", "2014-01-01", "1"
"1", "0MeterP: Shake", "UNKNOWN", "2019-01-01", "1"
"1", "0MeterP: Tsuisou Youk", "UNKNOWN", "2018-01-01", "1"
"1", "0meterP: Warning", "UNKNOWN", "2015-01-01", "1"
"1", "4-hiki no Nek", "FINISHED", "1969-04-01", "1"
"1", "7 Todoufuke", "FINISHED", "2011-04-01", "26"
"1", "7 Todoufuken ", "FINISHED", "2014-01-01", "12"
"1", "7 Todoufuken ", "UNKNOWN", "2019-01-01", "12"
"1", "7 Todoufuken Special", "FINISHED", "2012-01-01", "2"
"1", "8x6", "FINISHED", "2002-01-01", "1"
"1", " Centimeters per Secon", "UNKNOWN", "2007-01-01", "1"
"1", "-toubun no Hanayom", "FINISHED", "2019-01-01", "12"
"1", "-toubun no Hanayome ", "UPCOMING", "2021-01-01", "0"
"1", " Angel", "FINISHED", "2001-10-01", "6"
"1", " Lover", "UPCOMING", "2020-01-01", "0"
"1", "6311", "FINISHED", "2011-07-01", "1"
"1", "9 Pink Rider", "FINISHED", "2000-04-01", "1"
"1", "9 Pink Riders ", "FINISHED", "2002-01-01", "1"
"1", "H", "CURRENTLY", "2016-10-01", "0"
"1", "HP (Six Hearts Princess", "CURRENTLY", "2016-10-01", "0"
"1", "HP (Six Hearts Princess", "FINISHED", "2016-10-01", "3"
"1", "HP - Six Hearts Princes", "UNKNOWN", "2000-01-01", "7"
"1", "HP(Six Hearts Princess", "CURRENTLY", "2016-10-01", "15"
"1", "♥Princes", "FINISHED", "2013-10-01", "1"
"1", " Seed", "FINISHED", "2019-04-01", "12"
"1", " Seeds (2020", "FINISHED", "2020-01-01", "12"
"1", " Seeds 2nd Seaso", "FINISHED", "2020-01-01", "12"
"1", " Year", "FINISHED", "2016-04-01", "1"
"1", "-kakan", "FINISHED", "2015-07-01", "1"
"1", "7 Danui Bimi", "UNKNOWN", "1978-01-01", "1"
"1", "7Danui Bimi", "FINISHED", "1978-01-01", "1"
"1", "SEEDS Season ", "FINISHED", "2020-04-01", "12"
"1", "-gatsu no Symphony: Shibuya 2002-200", "FINISHED", "2009-07-01", "1"
"1", "-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animatio", "FINISHED", "2016-10-01", "3"
"1", "0 Days Around the World With Willy Fo", "UNKNOWN", "1984-01-01", "26"
"1", "4 Taekwon ", "FINISHED", "1984-07-01", "1"
"1", "", "UPCOMING", "2020-01-01", "0"
"1", "6: Eighty Si", "UNKNOWN", "2020-01-01", "0"
"1", "6: Eighty-Si", "UNKNOWN", "2020-01-01", "0"
"1", "8Kasyo Junrei: Kuku★Nenbuts", "UNKNOWN", "2013-01-01", "1"
"1", "", "FINISHED", "2013-10-01", "1"
"1", "1 Day", "FINISHED", "2016-07-01", "12"
"1", "1 Days: Mijikai Rousok", "FINISHED", "2016-07-01", "1"
"1", "1 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashit", "FINISHED", "2017-07-01", "1"
"1", "1 Daz", "FINISHED", "2016-10-01", "7"
"1", "1Days Specia", "FINISHED", "2017-04-01", "1"
"1", "6Neko & Kurousa-P: Eternal Worl", "UNKNOWN", "2018-01-01", "1"
"1", "6Neko & Kurousa-P: Gegen no Tsuk", "UNKNOWN", "2014-01-01", "1"
"1", "9 Illusion", "FINISHED", "2018-01-01", "1"
"1", "mm Parabellum Bullet: Setsuna Driv", "FINISHED", "2014-07-01", "1"
"1", "/Sankaku no Rhythm/Trump no Araso", "FINISHED", "1932-01-01", "1"
"1", "email protected", "UNKNOWN", "2001-01-01", "3"
"1", "email protected", "UNKNOWN", "2014-01-01", "1"
"1", "email protected", "UNKNOWN", "2013-01-01", "12"
"1", "Summe", "FINISHED", "2006-10-01", "2"
